;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;ValorBruto;Valor_m2;ValorTotal_m2;Tipo_Agregado
0;Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;2260.0;42.5;56.5;Apartamento
1;Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;7000.0;70.0;70.0;Casa
2;Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;1210.0;53.33;80.67;Apartamento
3;Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;1030.0;16.67;21.46;Apartamento
5;Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;1618.0;26.0;32.36;Apartamento
6;Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;22000.0;29.33;29.33;Casa
7;Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;1000.0;15.38;15.38;Casa
9;Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;2216.0;21.43;31.66;Apartamento
10;Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;1969.0;16.67;21.88;Apartamento
11;Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;2611.0;50.0;65.28;Apartamento
12;Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;2301.0;66.67;85.22;Apartamento
13;Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;15803.0;53.5;65.03;Apartamento
14;Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;2000.0;17.39;17.39;Casa
15;Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;1278.0;17.59;23.67;Apartamento
16;Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;2436.0;25.37;36.36;Apartamento
17;Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;2738.0;17.27;24.89;Apartamento
18;Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;10195.0;16.09;21.88;Casa
19;Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;1670.0;14.71;24.56;Apartamento
20;Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;2700.0;25.64;34.62;Apartamento
21;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9563.0;56.0;76.5;Apartamento
22;Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1547.0;15.62;32.23;Apartamento
23;Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;6200.0;24.0;35.43;Apartamento
24;Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;12000.0;30.0;30.0;Casa
25;Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;3240.0;32.89;42.63;Apartamento
26;Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;12850.0;26.46;33.99;Apartamento
27;Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;7700.0;30.56;42.78;Apartamento
28;Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;2948.0;21.9;28.08;Apartamento
29;Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;5520.0;35.45;50.18;Apartamento
30;Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;1733.0;48.15;64.19;Apartamento
31;Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;5776.0;17.5;28.88;Apartamento
32;Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;3035.0;25.71;43.36;Apartamento
33;Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;11600.0;20.49;47.54;Apartamento
34;Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;6950.0;40.91;63.18;Apartamento
35;Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;4340.0;33.33;48.22;Apartamento
36;Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;2980.0;26.0;29.8;Apartamento
37;Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;3020.0;32.64;41.94;Apartamento
38;Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;6800.0;22.22;37.78;Apartamento
39;Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;3340.0;25.0;36.3;Apartamento
40;Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;1140.0;27.78;42.22;Apartamento
41;Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;2725.0;57.14;77.86;Apartamento
42;Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;2007.0;36.84;52.82;Apartamento
43;Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;2917.0;19.28;35.14;Apartamento
44;Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0;26600.0;15.62;16.62;Casa
45;Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;9234.0;42.48;60.35;Apartamento
46;Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;21500.0;67.42;80.52;Apartamento
47;Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;4722.0;36.78;54.28;Apartamento
48;Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;2474.0;17.22;27.49;Apartamento
49;Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;1813.0;26.42;34.21;Apartamento
50;Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;7644.0;55.09;70.78;Apartamento
51;Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;2482.0;20.93;28.86;Apartamento
52;Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;2725.0;25.0;36.82;Apartamento
53;Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;2554.0;25.68;34.51;Apartamento
54;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;10400.0;53.33;69.33;Apartamento
55;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;11300.0;56.43;80.71;Apartamento
56;Casa;Méier;2;0;0;51;1500.0;50.0;0.0;1550.0;29.41;30.39;Casa
57;Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;5170.0;42.11;54.42;Apartamento
59;Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;1660.0;16.67;27.67;Apartamento
60;Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;42000.0;38.36;57.53;Casa
61;Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0;3700.0;17.86;26.43;Casa
62;Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;4735.0;43.75;59.19;Apartamento
63;Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;18540.0;52.92;77.25;Apartamento
64;Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;4370.0;25.0;42.02;Apartamento
65;Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;1094.0;17.78;24.31;Apartamento
66;Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;3578.0;40.0;51.11;Apartamento
67;Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;6042.0;30.68;68.66;Apartamento
68;Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;2540.0;29.73;68.65;Apartamento
69;Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;7153.0;42.31;55.02;Apartamento
70;Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;2240.0;19.48;29.09;Apartamento
71;Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;4090.0;29.41;48.12;Apartamento
72;Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;2153.0;18.59;27.6;Apartamento
73;Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;2882.0;42.59;53.37;Apartamento
74;Quitinete;Centro;0;0;0;30;800.0;505.0;0.0;1305.0;26.67;43.5;Apartamento
75;Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;2780.0;28.99;40.29;Apartamento
76;Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;9170.0;58.33;76.42;Apartamento
77;Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;4188.0;35.26;53.69;Apartamento
78;Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;1600.0;16.67;26.67;Apartamento
79;Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;4235.0;26.67;47.06;Apartamento
80;Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;5447.0;46.51;63.34;Apartamento
81;Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;1634.0;35.71;58.36;Apartamento
82;Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;2713.0;24.29;38.76;Apartamento
84;Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;2984.0;22.5;37.3;Apartamento
85;Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;1300.0;18.57;18.57;Casa
86;Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;3650.0;15.7;21.22;Apartamento
87;Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;9235.0;10.73;35.38;Apartamento
88;Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;27162.0;55.17;187.32;Apartamento
89;Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;1260.0;20.75;23.77;Apartamento
